"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-21",,"63","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-22",,"62","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-23",,"66","43",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-24",,"56","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-25",,"68","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-26",,"82","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-27",,"69","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-28",,"60","48",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-29",,"55","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-30",,"61","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-31",,"67","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-01",,"58","38",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-02",,"39","28",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-03",,"53","32",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-04",,"65","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-05",,"68","48",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-06",,"70","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-07",,"72","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-08",,"70","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-09",,"59","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-10",,"70","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-11",,"57","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-12",,"51","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-13",,"65","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-14",,"72","48",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-15",,"58","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-16",,"53","41",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-17",,"56","43",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-18",,"64","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-19",,"65","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-20",,"76","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-21",,"68","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-22",,"48","36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-23",,"64","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-24",,"72","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-25",,"63","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-26",,"60","41",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-27",,"64","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-28",,"85","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-29",,"75","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-30",,"71","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-01",,"65","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-02",,"82","56",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-03",,"66","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-04",,"73","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-05",,"62","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-06",,"66","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-07",,"66","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-08",,"55","48",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-09",,"65","46",
